Exercise Name,Link,Instructions,Comments,Target Muscles,Thumbnail GIF
Weighted Lateral Neck Flexion,https://exrx.net/WeightExercises/Sternocleidomastoid/WtNeckLateralFlex,Place folded towel on weight plate. Lie on bench on side with knees and hips bent and arm hanging over edge. Position weight and towel on side of upper head. Hold weight on side of head with hand of upper arm. Place hand of lower arm on floor for support. Move head up to side by laterally flexing neck. Lower head to opposite side and repeat. Lie on other side and continue.,See all muscle used in Lateral Flexion:,['Sternocleidomastoid'],https://exrx.net/application/files/5214/5309/4766/WTLateralNeckFlexion.gif
Front Neck Bridge,https://exrx.net/WeightExercises/Sternocleidomastoid/BWFrontNeckBridge,Kneel on all fours on well cushioned mat. Place head on mat between hands. Rise and straighten knees. Fold hands behind low back or hips. Roll back onto forehead until nose touches mat. Roll forward onto top of head until chin touches upper chest. Repeat.,Exercise involves neck flexors as well as neck extensors. See controversial exercises.,['Sternocleidomastoid'],https://exrx.net/application/files/7614/5309/4604/BWFrontNeckBridge.gif
Wall Front Neck Bridge,https://exrx.net/WeightExercises/Sternocleidomastoid/BWWallFrontNeckBridge,"Place small or folded cushioned mat on wall or column approximately chest height. With hands supporting mat on each side, stand back so feet are away from wall or column with body leaning forward. Place top of forehead on mat. Fold hands behind low back or hips. Roll down onto forehead until nose touches mat. Roll up onto top of head until chin touches upper chest. Repeat.",Keep body somewhat straight bending spine and hips slightly as head rolls down. Exercise involves neck flexors as well as neck extensors. See controversial exercises.,['Sternocleidomastoid'],https://exrx.net/application/files/1314/5309/4632/BWWallFrontNeckBridge.gif
Wall Side Neck Bridge,https://exrx.net/WeightExercises/Sternocleidomastoid/BWWallSideNeckBridge,"Place small or folded cushioned mat on column or at end of wall approximately shoulder height. With hands supporting mat, stand with side toward mat. Step far to side so feet are away from wall or column forward. Place side of head on mat with shoulder extending over end of adjacent side of column or wall so body leans to side. Fold hands behind low back or hips. Push side of head into mat and roll onto top of head moving body away from mat. Return to original position by rolling back down to side of head while bringing shoulder back over end of column or wall. Repeat.",Keep body somewhat straight allowing waist to bend outward away from mat slightly at end of lift. See all muscle used in Lateral Flexion:,['Sternocleidomastoid'],https://exrx.net/application/files/6814/5309/4633/BWWallSideNeckBridge.gif
Cable Neck Extension,https://exrx.net/WeightExercises/Splenius/CBNeckExt,Sit on bench facing pulley. Place neck in harness cable attachment. Place forearms on lower thighs for support. Move head away from pulley by hyperextending neck. Return by bending neck forward until chin touches upper chest. Repeat.,No comment.,['Splenius'],https://exrx.net/application/files/2314/3886/2509/CBNeckExtension.gif
Cable Neck Extension (with belt),https://exrx.net/WeightExercises/Splenius/CBNeckExtBelt,"Sit on bench facing low pulley. Attach belt on low pulley cable by attaching carabiner on belt buckle. Place head in belt loop. With belt above ears, clamp belt snugly around head by tightly gripping ends close to forehead. Place other hand or forearm on lower thighs for support. Pull head up and back by hyperextending neck. Return by bending neck forward until chin touches upper chest. Repeat.","Use neck to pull belt rather than allowing hand to assist. Keep clinched grip on belt against forehead throughout movement. Woven cotton or cloth belts tend to slip less, particularly on bald head. If belt slips from head, place small towel between belt and head.",['Splenius'],https://exrx.net/application/files/1714/3886/2512/CBNeckExtensionBelt.gif
Lever Neck Extension (plate loaded),https://exrx.net/WeightExercises/Splenius/LVNeckExtentionH,Sit on seat in machine. Place back of head under padded lever. Position body so neck is in line with lever axis. Grasp handles for support. Move head back by hyperextending neck. Return by bending neck forward until chin touches upper chest. Repeat.,None,['Splenius'],https://exrx.net/application/files/9514/3886/2516/LVNeckExtensionH.gif
Lever Neck Extension,https://exrx.net/WeightExercises/Splenius/LVNeckExt,Sit on seat in machine. Place back of head under padded lever. Position body so neck is in line with lever axis. Grasp handles for support. Move head back by hyperextending neck. Return by bending neck forward until chin touches upper chest. Repeat.,None,['Splenius'],https://exrx.net/application/files/4414/3886/2519/LVNeckExtension.gif
Weighted Lying Neck Extension,https://exrx.net/WeightExercises/Splenius/WtLyingNeckExtension,"Lie prone on bench with head extended off of end and folded towel and weight plate(s) on floor. With both hands, place plate(s) on back of head with towel placed in between for comfort. Move head up by hyperextending neck up as high as possible. Return by bending neck down until chin touches upper chest. Repeat.",Balance weight on back of head with both hands throughout movement. Weight plate(s) can be tilted slightly to higher point on head to keep resistance slightly more consistent throughout movement. Tilt weight forward slightly at top and back slightly at bottom. Also see same movement with body lying perpendicular to bench.,['Splenius'],https://exrx.net/application/files/9014/3886/2528/WTLyingNeckExtension.gif
Weighted Neck Extension,https://exrx.net/WeightExercises/Splenius/WtNeckExtension,"Kneel on side of bench with weight plates on end of bench. With both hands, hold weight plate(s) cushioned with towel. Position upper body prone and perpendicular on bench with head and arms extending off of side. With both hands, place weight plate(s) on back of head with towel placed in between for comfort. Move head up by hyperextending neck up as high as possible. Return by bending neck down until chin touches upper chest. Repeat.",Balance weight on back of head with both hands throughout movement. Weight plate(s) can be tilted slightly to higher point on head to keep resistance slightly more consistent throughout movement. Tilt weight slightly forward at top and back slightly at bottom. Also same see movement with body lying on bench.,['Splenius'],https://exrx.net/application/files/8914/3886/2531/WTNeckExtensionCrossBench.gif
Weighted Seated Neck Extension,https://exrx.net/WeightExercises/Splenius/WtNeckExt,"Place folded towel on weight plate. On bench or stool, sit bent over on thighs. With both hands, place plate(s) on back of head with towel placed in between for comfort. Move head up by hyperextending neck up as high as possible. Return by bending neck down until chin touches upper chest. Repeat.",Balance weight on back of head with both hands throughout movement. Weight plate(s) can be tilted slightly to higher point on head to keep resistance slightly more consistent throughout movement. Tilt weight forward slightly at top and back slightly at bottom.,['Splenius'],https://exrx.net/application/files/6214/3886/2523/WtNeckExtension.gif
Weighted Neck Harness Extension,https://exrx.net/WeightExercises/Splenius/WtNeckHarnessExt,Sit on bench with weighted neck harness on head. Allow weight to dangle in front by bending over. Move head up by hyperextending neck. Return by bending neck down until chin touches upper chest. Repeat.,Exercise can also be performed by bending over with hands on bent knees.,['Splenius'],https://exrx.net/application/files/9714/3886/2526/WTNeckExtensionHarness.gif
Rear Neck Bridge,https://exrx.net/WeightExercises/Splenius/BWRearNeckBridge,Lying supine on well cushioned mat. Position feet very close to hips. Raise buttocks and low back slightly off of floor and fold hands on abdomen. Extend hips and knees while pushing head back into floor. Roll back on head while arching spine high off of floor. Hyperextend neck back in attempt to bring forehead toward mat. Return body to close to mat until back of head and shoulders make contact with mat. Repeat.,Also known as wrestler's bridge. See controversial exercises.,['Splenius'],https://exrx.net/application/files/1414/3886/2507/BWRearNeckBridge.gif
Wall Rear Neck Bridge,https://exrx.net/WeightExercises/Splenius/BWWallRearNeckBridge,Hold small or folded cushioned mat behind head. Facing away from wall or column position head and back of shoulders low on wall or column with mat between. Stand with feet far away from wall or column so body is angled back. Position hips and back straight and bend knees just slightly. Place arms to side or hold hands on abdomen. Push head back into mat and roll head upward. Arch spine and straighten knees. Hyperextend neck so head is facing up. Return to original position by rolling head down while allowing low back to straighten and knees to bend slightly. Continue down until back of head and shoulders make contact with mat. Repeat.,See controversial exercises.,['Splenius'],https://exrx.net/application/files/7014/3886/2505/BWWallRearNeckBridge.gif
Lying Neck Retraction Isometric,https://exrx.net/WeightExercises/Splenius/LyingIsometricNeckRetr,"ExecutionPush head into mat and hold position. Relax and repeat. This exercise may be prescribed for functional forward head posture since it strengthens Splenius without neck flexion. The stretch that occurs during complete neck flexion, may exacerbate forward head posture, particularly if neck flexion is held under load. Neck flexion normally occurs at end of eccentric portion of dynamic Splenius exercises.","This exercise may be prescribed for functional forward head posture since it strengthens Splenius without neck flexion. The stretch that occurs during complete neck flexion, may exacerbate forward head posture, particularly if neck flexion is held under load. Neck flexion normally occurs at end of eccentric portion of dynamic Splenius exercises.",['Splenius'],https://exrx.net/application/files/6615/1704/8559/IsometricNeckRetraction.jpg
