Exercise Name,Link,Instructions,Comments,Target Muscles,Thumbnail GIF
Cable Decline Fly,https://exrx.net/WeightExercises/PectoralSternal/CBDeclineFly,"Grasp two opposing high pulley dumbbell attachments. Lie supine on decline bench, in middle and perpendicular to both pulleys. Slightly bend elbows and internally rotate shoulders so elbows are back. Bring cable stirrups together above upper abdomen in hugging motion; elbows in fixed position and shoulders internally rotated so elbows are to sides. Return to starting position until chest is slightly stretched. Repeat.","Since incline of bench does not actually affect angle of pull as with dumbbells, similar effect can be achieved on flat bench if cable stirrups are brought together above upper abdomen instead of chest. Keep shoulders internally rotated so elbows point downward at bottom position and outward at top position. Keep elbows at fixed angle, only slightly bent. Anterior Deltoid will no longer act as synergist in steep decline bench position.","['Pectoralis Major, Sternal']",https://exrx.net/application/files/1914/3885/7847/CBDeclineFly.gif
Cable Lying Fly,https://exrx.net/WeightExercises/PectoralSternal/CBLyingFly,"Grasp two opposing low pulley stirrup attachments. Lie supine on bench, in middle and perpendicular to both pulleys. Slightly bend elbows and internally rotate shoulders so elbows are back. Bring cable attachments together in hugging motion with elbows in fixed position and shoulders internally rotated so elbows are to sides. Return to starting position until slight stretch. Repeat.","Keep shoulders internally rotated so elbows point downward at bottom position and outward at top position. Keep elbows at fixed angle, only slightly bent.","['Pectoralis Major, Sternal']",https://exrx.net/application/files/6514/3885/7850/CBLyingFly.gif
Cable Seated Fly,https://exrx.net/WeightExercises/PectoralSternal/CBSeatedFly,"Sit on seat and grasp stirrups to each side. Slightly bend elbows and internally rotate shoulders so elbows are back. Keeping elbows pointed high, bring cable attachments together in hugging motion with elbows in fixed position. Return to starting position until slight stretch. Repeat.",Shoulders are kept internally rotated so elbows are pointing back and out to sides.,"['Pectoralis Major, Sternal']",https://exrx.net/application/files/9014/3885/7845/CBSeatedFly.gif
Cable Standing Fly,https://exrx.net/WeightExercises/PectoralSternal/CBStandingFly,Grasp two opposing high pulley dumbbell attachments. Stand with pulleys to each side. Bend over slightly by flexing hips and knees. Bend elbows slightly and internally rotate shoulders so elbows are back initially. Bring cable attachments together in hugging motion with elbows in fixed position. Keep shoulders internally rotated so elbows are pointed upward at top and out to sides at bottom. Return to starting position until chest muscles are stretched. Repeat.,"Under greater resistance, positioning torso at lower angle downward (by bending over at hips), will allow upper body weight to counterbalance upward pull of cables, as opposed to stepping forward and struggling with backward pull of cables.","['Pectoralis Major, Sternal']",https://exrx.net/application/files/1114/3885/7859/CBStandingFly.gif
Cable Bench Press,https://exrx.net/WeightExercises/PectoralSternal/CBBenchPress,"Lie on bench and grasp stirrups attached to low cable pulley on each side. Position stirrups out to each side of chest with bent arm under each wrist. Push stirrups up over each shoulder until arms are straight and parallel to one another. Return stirrups to original position, until slight stretch is felt in shoulders or chest. Repeat.","Stirrup should follow slight arch pattern, above upper arm between elbow and chest at bottom, traveling inward over each shoulder at t op. Also see Bench Press Analysis.","['Pectoralis Major, Sternal']",https://exrx.net/application/files/5614/3885/7834/CBBenchPress.gif
Cable Bar Bench Press,https://exrx.net/WeightExercises/PectoralSternal/CBBarBenchPress,"Position adjustable pulley higher than intended height but within arms reach from bench. Position bench under cable bar. Lie supine on bench. While lying on bench, reach over and lower each pulley into intended position so that cables are taut in lowest position with bar on chest. Grasp bar with both hands using wide oblique overhand grip. Press bar upward until arms are extended. Lower bar to chest or until slight stretch is felt in shoulders. Repeat.",Range of motion will be compromised if grip is too wide. Also see Bench Press Analysis and Cable Bar Standing Bench Press.,"['Pectoralis Major, Sternal']",https://exrx.net/application/files/3314/3885/7835/CBBarBenchPress.gif
Cable Chest Press,https://exrx.net/WeightExercises/PectoralSternal/CBChestPress,"Sit on seat and grasp stirrups to each side. Position elbows out to sides, slightly lower than shoulder height. Position hands slightly narrower than elbow width in front of upper arms. Push stirrups out straight until arms are straight and parallel to one another. Return stirrups to original position, until slight stretch is felt in shoulders or chest. Repeat.","Stirrup should follow slight arch pattern, in front of upper arm between elbow and chest in stretched position, traveling inward in front of each shoulder at extended position.","['Pectoralis Major, Sternal']",https://exrx.net/application/files/3214/3885/7839/CBChestPress.gif
Cable One Arm Chest Press,https://exrx.net/WeightExercises/PectoralSternal/CBOneArmChestPress,"Sit on seat and grasp stirrup to one side. Position elbows out to side, slightly lower than shoulder height. Position hand slightly narrower than elbow width in front of upper arm. Push stirrups out straight in front of shoulder until arm is straight. Return stirrups to original position until slight stretch is felt through shoulder or chest. Repeat.",Also see exercise performed with twisting movement. Pectoralis Minor and Serratus Anterior act as stabilizers if torso is not against back support as shown.,"['Pectoralis Major, Sternal']",https://exrx.net/application/files/7214/3885/7854/CBOneArmChestPress.gif
Cable Standing Chest Press,https://exrx.net/WeightExercises/PectoralSternal/CBStandingChestPress,"Stand between two shoulder height pulleys, facing away from cable columns. Grasp cable stirrups from each side. Position stirrups to sides of chest with elbows out to sides. Position forearms horizontally and parallel with hands elbow width. Step forward in lunging posture (one foot in front and other foot behind). Lean and step forward with one foot in front, bending forward leg. Push stirrups forward until arms are straight and parallel to one another. Return stirrups to original position until slight stretch is felt in chest or shoulders. Repeat.","Stirrup should follow slight arch pattern as hands travel closer together toward extension. Cable pulleys should be relatively close together, narrower than width of arms extended out to sides (but not too close), closer than what is typically found on standard cable cross over setup.","['Pectoralis Major, Sternal']",https://exrx.net/application/files/4314/3885/7852/CBStandingChestPress.gif
Cable Bar Standing Chest Press,https://exrx.net/WeightExercises/PectoralSternal/CBBarStandingChestPress,"Stand facing behind cable bar, mounted on each side to shoulder height narrow double pulley cables. Grasp cable bar with wide overhand grip. Position bar chest height with elbows angled behind. Lean and step forward with one foot in front, bending forward leg. Push cable bar forward until arms are straight. Return cable bar to original position until slight stretch is felt in chest or shoulders. Repeat.","Cable pulleys should be relatively close together, narrower than width of arms extended out to sides (but not too close), closer than what is typically found on standard cable cross over setup. Range of motion will be compromised if grip is too wide.","['Pectoralis Major, Sternal']",https://exrx.net/application/files/9014/3885/7828/CBBarStandingChestPress.gif
Cable Twisting Chest Press,https://exrx.net/WeightExercises/PectoralSternal/CBTwistingChestPress,"Sit on seat and grasp stirrup to one side. Position elbow out to side, slightly lower than shoulder height. Position hand slightly narrower than elbow width, in front of upper arm. Lean forward in seat. Push stirrup out in front of upper chest while turning torso away from pulley. Return stirrup and torso back to original position allowing torso to rotate back until slight stretch is felt through chest, shoulder or waist. Repeat.",The effective range of motion of Pectoralis Major is only about half of what it is in non-twisting movement.,"['Pectoralis Major, Sternal']",https://exrx.net/application/files/3514/3885/7867/CBTwistingChestPress.gif
Cable Decline Chest Press,https://exrx.net/WeightExercises/PectoralSternal/CBDeclineChestPress,"Sit on seat and grasp stirrups to each side. Position elbows out to sides, slightly lower than shoulder height. Position hands slightly narrower than elbow width in front of upper arms. Push stirrups forward and slightly downward until arms are straight and parallel to one another. Return stirrups to original position, until slight stretch is felt in shoulders or chest. Repeat.","Stirrup should follow slight arch pattern, in front of upper arm between elbow and chest in stretched position, traveling inward and slightly downward just below each shoulder at ex tended position. Latissimus Dorsi involvement is low on Decline Bench Press (Barnett 1995).","['Pectoralis Major, Sternal']",https://exrx.net/application/files/6714/3885/7841/CBDeclineChestPress.gif
Cable Bar Standing Decline Chest Press,https://exrx.net/WeightExercises/PectoralSternal/CBBarStandingDeclineChestPress,"Stand facing behind cable bar mounted on each side to shoulder height narrow double pulley cables. Grasp cable bar with wide overhand grip. Position bar chest height with elbows angled behind and above. Lean and step forward with one foot in front, bending forward knee. Push cable bar forward and downward until bar is about hip height and arms are straight. Return cable bar to original position until slight stretch is felt in chest or shoulders. Repeat.","Cable pulleys should be relatively close together, narrower than width of arms extended out to sides (but not too close), closer than what is typically found on standard cable cross over setup.","['Pectoralis Major, Sternal']",https://exrx.net/application/files/8314/3885/7830/CBBarStandingDeclineChestPress.gif
Cable Standing Decline Chest Press,https://exrx.net/WeightExercises/PectoralSternal/CBStandingDeclineChestPress,"Stand between two high pulleys, facing away from cable columns. Grasp cable stirrups from each side. Position stirrups down to sides of lower chest with elbows high out to sides. Angle forearms downward with hands elbow width or slightly narrower. Lean and step forward with forward leg bent or stand feet side by side with both legs slightly bent (as shown). Push stirrups at forward/downward angle until arms are straight and parallel to one another. Return stirrups to original position until slight stretch is felt in chest or shoulders. Repeat.","Stirrup should follow slight arch pattern as hands travel closer together toward extension. Cable pulleys should be relatively close together, narrower than width of arms extended out to sides (but not too close), closer than what is typically found on standard cable cross over setup.","['Pectoralis Major, Sternal']",https://exrx.net/application/files/5714/3885/7865/CBStandingDeclinePress.gif
Cable Twisting Standing Chest Press,https://exrx.net/WeightExercises/PectoralSternal/CBTwistingStandingChestPress,"Grasp cable stirrup from chest height pulley. Turn body away from pulley. Position elbow of loaded arm out to side, lower chest height. Position loaded hand back approximately shoulder height and elbow width. Step far forward with foot of opposite side of loaded arm. Bend knees and position heel off rear foot off floor. Push stirrups away from body, horizontally until arm is straight and inline with cable. Return stirrups to original position until slight stretch is felt in chest or shoulder. Repeat. Continue with opposite arm.","Stirrup should follow slight arch pattern, in front of upper arm between elbow and chest in stretched position, traveling inward in front shoulder at contracted position.","['Pectoralis Major, Sternal']",https://exrx.net/application/files/4914/3885/7863/CBStandingTwistingChestPress.gif
Dumbbell Bench Press,https://exrx.net/WeightExercises/PectoralSternal/DBBenchPress,Sit down on bench with dumbbells resting on lower thigh. Kick weights to shoulder and lie back. Position dumbbells to sides of chest with bent arm under each dumbbell. Press dumbbells up with elbows to sides until arms are extended. Lower weight to sides of chest until slight stretch is felt in chest or shoulder. Repeat.,"Dumbbells should follow slight arch pattern, above upper arm between elbow and chest at bottom, traveling inward over each shoulder at top. No need to drop weights - see suggested mount and dismount techniques: standard or advanced. Also see mount & dismount from special machine rack and Bench Press Analysis.","['Pectoralis Major, Sternal']",https://exrx.net/application/files/4714/3885/7869/DBBenchPress.gif
Dumbbell Decline Bench Press,https://exrx.net/WeightExercises/PectoralSternal/DBDeclineBenchPress,Sit down on decline bench with feet under leg brace and dumbbells resting on thigh. Lie back with dumbbells. Position dumbbells to sides of chest with bent arm under each dumbbell. Press dumbbells up with elbows to sides until arms are extended. Lower weight to sides of chest until slight stretch is felt in chest or shoulder. Repeat.,"Stirrup should follow slight arch pattern, above upper arm between elbow and chest at bottom, traveling inward over each shoulder at top. No need to drop weights - see suggested mount and dismount technique. Latissimus Dorsi involv ement is low on Decline Bench Press (Barnett 1995). Also see mount & dismount from special machine rack and Bench Press Analysis.","['Pectoralis Major, Sternal']",https://exrx.net/application/files/5214/3885/7877/DBDeclineBenchPress.gif
Dumbbell Decline Fly,https://exrx.net/WeightExercises/PectoralSternal/DBDeclineFly,Grasp two dumbbells. Lie supine on decline bench. Support dumbbells above upper abdomen with arms fixed in slightly bent position. Internally rotate shoulders so elbows are to sides. Lower dumbbells to sides until chest muscles are stretched with elbows fixed. Bring dumbbells together in wide hugging motion until dumbbells are nearly together. Repeat.,"Keep elbows at fixed angle, only slightly bent, and pointing outward, opposite direction of upward motion. Anterior Deltoid will no longer act as synergist in steep decline bench position.","['Pectoralis Major, Sternal']",https://exrx.net/application/files/6414/3885/7879/DBDeclineFly.gif
Dumbbell Fly,https://exrx.net/WeightExercises/PectoralSternal/DBFly,Grasp two dumbbells. Lie supine on bench. Support dumbbells above chest with arms fixed in slightly bent position. Internally rotate shoulders so elbows point out to sides. Lower dumbbells to sides until chest muscles are stretched with elbows fixed in slightly bent position. Bring dumbbells together in wide hugging motion until dumbbells are nearly together. Repeat.,"Keep shoulders internally rotated so elbows point downward at bottom position and outward at top position. Keep elbows at fixed angle, only slightly bent.","['Pectoralis Major, Sternal']",https://exrx.net/application/files/3214/3885/7905/DBFly.gif
Dumbbell Pullover,https://exrx.net/WeightExercises/PectoralSternal/DBPullover,"Lie on upper back perpendicular to bench. Flex hips slightly. Grasp one dumbbell from behind or from side with both hands under inner plate of dumbbell. Position dumbbell over chest with elbows slightly bent. Keeping elbows slightly bent throughout movement, lower dumbbell over and beyond head until upper arms are in-line with torso. Pull dumbbell up and over chest. Repeat.",Lower body extending off of bench acts as counter balance to resistance and keeps upper back fixed on bench. Avoid hips from raising up significantly. Actual range of motion is dependent upon individual shoulder flexibility. Keep elbows fixed at small bend throughout exercise. See suggested mount & dismount.,"['Pectoralis Major, Sternal']",https://exrx.net/application/files/8014/3885/7881/DBPullover.gif
Dumbbell Pullover (on apparatus),https://exrx.net/WeightExercises/PectoralSternal/DBPulloverAp,"Sit on lower pad with back against upper pad, facing dumbbell in rack. Position feet under padded bars. Grasp dumbbell by handle with both hands. Pull top of dumbbell to chest. Push dumbbell up over chest with both hands under inner plate of dumbbell. Raise hips up from pad and recline torso back so chest faces upward. Keep hips and elbows slightly bent. Keeping elbows slightly bent throughout movement, lower dumbbell over and beyond head until upper arms are in-line with torso. Pull dumbbell up and over chest. Repeat.",Avoid hips from raising up significantly. Actual range of motion is dependent upon individual shoulder flexibility. Keep elbows fixed at small bend throughout exercise. See suggested mount & dismount.,"['Pectoralis Major, Sternal']",https://exrx.net/application/files/9814/3885/7894/DBPulloverBench.gif
Dumbbell Pullover (on arched bench),https://exrx.net/WeightExercises/PectoralSternal/DBPulloverArchedBench,"Sit on seat of arched bench with dumbbell on lower thigh. Kick dumbbell up to shoulder while lying back on bench. Grasp both hands under inner plate of dumbbell. Position dumbbell over chest with elbows slightly bent. Keeping elbows slightly bent throughout movement, lower dumbbell over and beyond head until upper arms are in-line with torso. Pull dumbbell up and over chest. Repeat.",Actual range of motion is dependent upon individual shoulder flexibility. Keep elbows fixed at small bend throughout exercise. See suggested mount & dismount.,"['Pectoralis Major, Sternal']",https://exrx.net/application/files/9914/3885/7887/DBPulloverArchedBench.gif
Lever Bench Press (plate loaded),https://exrx.net/WeightExercises/PectoralSternal/LVBenchPressH,Lie supine on bench with chest under lever bar. Grasp lever bar with wide oblique overhand grip. Press bar until arms are extended. Lower weight to upper chest. Repeat.,Range of motion will be compromised if grip is too wide. Also see Bench Press Analysis.,"['Pectoralis Major, Sternal']",https://exrx.net/application/files/8814/3885/7921/LVBenchPressH.gif
Lever Barbell Bench Press (plate loaded),https://exrx.net/WeightExercises/PectoralSternal/LVBBBenchPress,Lie supine on bench with upper chest under bar. Grasp bar with wide oblique overhand grip. Disengage bar by rotating bar. Lower weight to chest. Press bar until arms are extended. Repeat.,"Orientation relative to lever will depend upon height of fulcrum relative to bench. Position body so bar is over shoulders during extension, yet lower on chest in lowest position. Range of motion will be compromised if grip is too wide. Also see Bench Press Analysis.","['Pectoralis Major, Sternal']",https://exrx.net/application/files/8614/3885/7990/LVSMBenchPress.gif
Lever Chest Dip (plate loaded),https://exrx.net/WeightExercises/PectoralSternal/LVChestDipH,"Sit on seat and grasp handles with oblique grip. If possible, place handles in wide position. Lean forward slightly. Push lever down with elbows away from body. Return until chest is slightly stretched. Repeat.",Also see Lever Triceps Dip.,"['Pectoralis Major, Sternal']",https://exrx.net/application/files/6514/3885/7924/LVChestDipH.gif
Lever Chest Press (plate loaded),https://exrx.net/WeightExercises/PectoralSternal/LVChestPressH,Sit on seat with chest approximately height of handles. Grasp handles with wide overhand grip; elbows out to sides just below shoulders. Press levers until arms are extended. Return weight until chest muscles are slightly stretched. Repeat.,Range of motion will be compromised if grip is too wide. Also see Bench Press Analysis.,"['Pectoralis Major, Sternal']",https://exrx.net/application/files/1614/3885/7937/LVChestPressH.gif
Lever Decline Chest Press (plate loaded),https://exrx.net/WeightExercises/PectoralSternal/LVDeclineChestPressH,Sit on seat with handles lower chest height. Grasp handle with wide overhand grip; elbows out to sides just below shoulders. Press lever until arms are extended. Return weight until chest muscles are slightly stretched. Repeat.,Range of motion will be compromised if grip is too wide. Latissimus Dorsi involvem ent is low on Decline Bench Press (Barnett 1995). Also see exercises performed on alternative machine. Also see Bench Press Analysis.,"['Pectoralis Major, Sternal']",https://exrx.net/application/files/4614/3885/7950/LVDeclineChestPressHighH.gif
Lever Decline Chest Press (plate loaded),https://exrx.net/WeightExercises/PectoralSternal/LVDeclineChestPressPL,Sit on seat with lever grips lower chest height. Grasp grips with wide overhand grip; elbows out to sides just below shoulders. Press lever until arms are extended. Return weight until chest muscles are slightly stretched. Repeat.,Range of motion will be compromised if grip is too wide. Latissimus Dorsi involvement is low on Decline Bench Press (Barnett 1995). Also see exercises performed on Hammer Machine. Also see Bench Press Analysis.,"['Pectoralis Major, Sternal']",https://exrx.net/application/files/5014/3885/7947/LVDeclineChestPressPL.gif
Lever Wide Grip Chest Press (plate loaded),https://exrx.net/WeightExercises/PectoralSternal/LVWideGripChestPress,Sit on seat with chest approximately height of handles. Grasp handles with wide overhand grip and elbows out to sides. Press lever until arms are extended. Return weight until chest muscles are slightly stretched. Repeat.,Range of motion will be compromised if grip is too wide. Also see Bench Press Analysis.,"['Pectoralis Major, Sternal']",https://exrx.net/application/files/4914/3885/7991/LVWideGripChestPressSeatLowH.gif
Lever Chest Dip,https://exrx.net/WeightExercises/PectoralSternal/LVChestDip,"If possible, place handles in wide position. Sit on seat and grasp handles with oblique grip. Lean forward slightly and allow elbows to flare out. Push lever down by straightening arms. Return lever up with elbows flaring out until chest is slightly stretched. Repeat.",See Lever Chest Dip on machine facing fulcrum. Also see Lever Triceps Dip.,"['Pectoralis Major, Sternal']",https://exrx.net/application/files/5814/3885/7931/LVChestDip.gif
Lever Chest Dip,https://exrx.net/WeightExercises/PectoralSternal/LVChestDip2,"If possible, place handles in wide position. Sit on seat with legs under pads. Grasp handles with oblique grip. Lean slightly forward and allow elbows to flare out. Push lever down by straightening arms. Return lever up with elbows flaring out until chest is slightly stretched. Repeat.",See alternative machine. Also see Lever Chest Dip on machine facing away from fulcrum and Lever Triceps Dip.,"['Pectoralis Major, Sternal']",https://exrx.net/application/files/3014/3885/7926/LVChestDip2.gif
Lever Bent-over Fly (on iron cross machine),https://exrx.net/WeightExercises/PectoralSternal/LVBentoverFlyIronCross,Stand on platform in front of Lever Iron Cross Machine. Grasp handles to each side. Bend over at hips with knees and elbows bent slightly. Internally rotate shoulders so elbows are pointing upward. Bring lever handles together in hugging motion with elbows in fixed position. Keep shoulders internally rotated so elbows are pointed upward at top and out to sides at bottom. Return to starting position until chest muscles are stretched. Repeat.,"Height of platform should allow shoulders to be near the same height of fulcrums. Secondary levers compensate somewhat for variations if alignment between points of rotation (lever fulcrum and shoulder girdle articulation). Under greater resistance, height of platform can be increased so torso can be positioned at lower angle downward (by bending over at hips). This will allow upper body weight to counterbalance upward pull of levers. See Lever Seated Iron Cross Fly and Lever Iron Cross for Lats.","['Pectoralis Major, Sternal']",https://exrx.net/application/files/1614/3885/7915/LVBentOverFly.gif
Lever Seated Decline Fly (gripless),https://exrx.net/WeightExercises/PectoralSternal/LVSeatedDeclineFly,"Sit on seat with back against seat. Position both arms over back of padded levers. Slightly bend elbows and internally rotate shoulders, wrists are slightly lower than elbows. Bring padded levers together by pushing pads forward and downward in hugging motion. Return to starting position until chests muscle are stretched. Repeat.",Shoulders should be internally rotated so elbows are pointing back at beginning of motion and outward at end of motion.,"['Pectoralis Major, Sternal']",https://exrx.net/application/files/5814/3885/7974/LVSeatedDeclineFly.gif
Lever Lying Fly,https://exrx.net/WeightExercises/PectoralSternal/LVLyingFly,Lie supine on bench. Position both arms under padded levers. Slightly bend elbows and internally rotate shoulders so elbows are back. Bring padded levers upward and together in hugging motion. Return to starting position until chest muscles are stretched. Repeat.,Shoulders should be internally rotated so elbows are pointing downward at bottom of motion and outward at top of motion.,"['Pectoralis Major, Sternal']",https://exrx.net/application/files/9314/3885/7959/LVLyingFly.gif
Lever Pec Deck Fly,https://exrx.net/WeightExercises/PectoralSternal/LVPecDeckFly,"Sit on machine with back on pad. If available, push foot lever until padded lever moves forward. Place forearms on padded lever. Position upper arms approximately parallel. Release foot lever. Push levers together. Return until chest muscles are stretched. Repeat.",None,"['Pectoralis Major, Sternal']",https://exrx.net/application/files/9114/3885/7968/LVFly.gif
Lever Decline Pec Deck Fly,https://exrx.net/WeightExercises/PectoralSternal/LVDeclineFly,"Sit on machine with back on pad. If available, push foot lever until padded lever moves forward. Place forearms on padded lever. Position upper arms approximately parallel. Release foot lever. Push levers together. Return until chest muscles are stretched. Repeat.",None.,"['Pectoralis Major, Sternal']",https://exrx.net/application/files/9014/3885/7957/LVDeclineFly.gif
Lever Seated Fly,https://exrx.net/WeightExercises/PectoralSternal/LVSeatedFly,"Sit on machine with back on pad. Grasp handles to both sides, shoulder height. Slightly bend elbows and internally rotate shoulders so elbows are back. Keeping elbows pointed high, push lever handles forward and together. Return to back toward original position until mild stretch is felt in chest or shoulder. Repeat.","Shoulders are kept internally rotated so elbows are pointing out to sides. The starting position of levers can be adjusted on many apparatuses, allowing for both rear delt and chest to be exercised. Exercise can be performed on Lever Rear Delt machine even if levers do not adjust to wide starting position. Also see exercises on alternative machine.","['Pectoralis Major, Sternal']",https://exrx.net/application/files/5114/3885/7981/LVSeatedFly.gif
Lever Seated Fly,https://exrx.net/WeightExercises/PectoralSternal/LVSeatedFly2,"Sit on machine with back on pad. Grasp handles to both sides, shoulder height. Slightly bend elbows and internally rotate shoulders so elbows are back. Keeping elbows pointed high, push lever handles forward and together. Return to back toward original position until mild stretch is felt in chest or shoulder. Repeat.",Shoulders are kept internally rotated so elbows are pointing out to sides. Adjust lever arms on machine so slight stretch is felt when weight is lowered. Also see exercises on alternative machine.,"['Pectoralis Major, Sternal']",https://exrx.net/application/files/1614/3885/7979/LVSeatedFly2.gif
Lever Seated Fly (gripless),https://exrx.net/WeightExercises/PectoralSternal/LVSeatedFlyGripless,Sit on seat with back against pad and feet on foot bar. Position both arms behind padded levers. Slightly bend elbows and internally rotate shoulders so elbows are pointed back. Bring padded levers forward and together in hugging motion. Return to starting position until stretch in chests or shoulder is felt. Repeat.,Shoulders should be internally rotated so elbows are pointing backward at beginning of motion and forward at completion of motion.,"['Pectoralis Major, Sternal']",https://exrx.net/application/files/3914/3885/7987/LVSeatedFlyGripless.gif
